Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,130.722,130.722,screen dim,39.2871571995
0,112.02600000000001,112.02600000000001,wifi radio,142.60069605
112.02600000000001,112.743,0.7169999999999845,wifi running,0.0015469274999999668
112.743,130.722,17.979000000000013,wifi radio,22.88591857500002
7.202,130.722,123.52000000000001,audio,21.319552000000005
7.202,11.121,3.9190000000000005,audio,0.6764194000000002
24.06,130.722,106.662,audio,18.409861200000005
24.06,24.072,0.012000000000000455,audio,0.002071200000000079
32.244,130.722,98.47800000000001,audio,16.997302800000003
32.244,36.665,4.420999999999999,audio,0.7630646
57.65,130.722,73.072,audio,12.612227200000003
57.65,62.212,4.562000000000005,audio,0.7874012000000009

